Unnamed: 0,A_ACE,A_ARB,A_CCB,A_Beta_Blocker,A_Thiazide_Diuretic
0,0.9966515462164732,0.9959059198547696,0.996153068310787,0.9958236087320076,0.9957489086803424
1,0.9949723041249032,0.9960377451700332,,0.9933148238186192,0.9945258902100208
2,0.9957903494651444,0.9955920404610288,0.9953706184495741,0.9964204911933078,0.9970732034125834
3,0.9947545651462378,0.9927562986675976,0.9971645212947988,0.9941965050426528,0.9977436175036414
4,0.9941833135259016,0.9923489087454328,0.9967618157268792,0.995133562955426,0.9969444726067588
5,0.9953404257302918,0.9965524650597588,0.9978535909076056,0.9918595451776742,0.994341685557254
6,0.9952646229434118,0.9926994150024474,0.9952499048718348,0.9948017745007434,0.9963006491842844
7,0.9948298253986408,0.9951155403089008,0.9949255594172433,0.9955082948059808,0.998549083514643
8,0.9962750302350064,0.9958069575276746,0.9977672986344148,0.9973738641154896,0.9973345608125032
9,0.9946818658387904,0.9957053669897452,0.996086412796302,0.9933518626611412,0.9955424422230468
10,0.9964668761597152,0.9946241673186118,0.9971469572951568,0.9937621698214464,0.9970623335627607
11,0.9954749629150448,0.9961545706826062,0.996228547352558,0.9963827916117604,0.9980488894663432
12,0.9948062622722521,0.9953734095698158,0.99781418903186,0.9979349068916812,0.9975545583200868
13,0.99556168128543,0.9977323148842072,0.9962520550594576,0.9951957919277932,0.9975567751477356
14,0.9951027675592524,0.9932865568400722,0.9941339891013352,0.9926577972569476,0.9975994156422522
15,0.9944512827111626,0.9978787187771684,0.9959816644227756,0.9960951856773028,0.9950129113375672
16,0.9964837127927504,0.9974647386955694,0.9946602865791958,0.9931050853378292,0.9983351564922024
17,0.9938222891783148,0.9951461061733492,0.9966063934399574,0.9958372443472746,0.9959300749589604
18,0.9929862222858199,0.9944975031550072,0.9952924862335394,0.9946168339179784,0.9984885109326844
19,0.9957522627164566,0.994987338228558,0.9984167131473296,0.9926299620614464,0.99584547602044
20,0.9952722188155576,0.9935474363011518,0.9948291887540428,0.99621445577549,0.9939140721613452
21,0.9954120439951872,0.9945921045389854,0.9950086262438412,0.9944746389966708,0.9971747406213772
22,0.9953104650922828,0.9967935451693396,0.9936497835507574,0.9940332191675688,0.9927159003579944
23,0.9938482390553958,0.9960508049409216,0.9949750626826754,0.9957704262402252,0.9981562981849106
24,0.9956398986281132,0.998756651165937,0.9968818792193448,0.993845352308822,0.99744160553393
25,0.9964741853711624,0.9964368370188732,0.9947009909077854,0.9929748238375208,0.9930926135164616
26,0.994949931880994,0.9932437570499386,0.9944199856577174,0.9948865056309788,0.9977239889883144
27,0.9940262469825024,0.9948362158562408,0.9941095438932824,0.993728563042163,0.9920349352821236
