Unnamed: 0,A_Thiazide_Diuretic,A_CCB,A_ARB,A_Beta_Blocker,A_ACE
0,0.9897200835686132,0.9983774883622564,0.9990217446285448,0.9977210784086368,0.9985849545918848
1,0.9949276685225218,0.9988690476544132,0.9976125149318679,0.9985434668118496,0.9982044109540053
2,0.9961555937613232,0.998669872891241,0.9983880166598579,0.9970097930092502,0.9987310768126804
3,0.9953598450479146,0.9982115714869222,0.9995971787403114,0.99773558157344,0.9993436787524744
4,0.996379403827218,0.9982146975927776,0.9957797165837956,0.9979250707484584,0.9978388228111138
5,0.995073683227938,0.9992398841154696,0.9978583998009872,0.9989284789777916,0.9993652080986959
6,0.9955169635369056,0.9991803167901216,0.9985623956782717,0.9967662339247636,0.9988655704081836
7,0.9958643142153624,0.998615525382466,0.9934370530932064,0.9988878951747242,0.998548729030254
8,0.9979276410122524,0.9991033691604166,0.9984358772696332,0.9973691546176502,0.9988264962932504
9,0.9958601976259318,0.9988072238754312,0.9994433647342684,0.9974751378954804,0.9988586100183392
10,0.9957900965874596,0.9995698683932756,0.9984026843992638,0.997509440117334,0.9990916565243564
11,0.9980249453050036,0.9992011896076431,0.9983760475731208,0.9976879057836197,0.9984497230080758
12,0.9994278570616524,0.9979121390354836,0.996864209637816,0.9979619607496408,0.9985598005573152
13,0.9949696579990972,0.998822787799454,0.9967965572922236,0.9973589497292044,0.9986328461771146
14,0.9984282445558104,0.9987192701616052,0.9976614428990443,0.9983741947013562,0.9994028255104496
15,0.9958647936329924,0.9987752826144899,0.9995263290102886,0.9979962785616662,0.9987798469852298
16,0.9948221232152672,0.9996514845581164,0.999999999995285,0.9980296638539145,0.9986363575957932
17,0.9950763569395688,0.9989096001425062,0.9975193705954776,0.9978685650989828,0.9980243916350016
18,0.9991892127985788,0.9989195030986772,0.9986787299814122,0.998896271696426,0.9983977002550608
19,0.9907370053553402,0.9978384652758088,0.9976041936069092,0.9986506573886944,0.9985845604957913
