Unnamed: 0,A_Beta_Blocker,A_CCB,A_ARB,A_Thiazide_Diuretic,A_ACE
0,0.9992025538631278,0.9999999999950449,0.9999999999946692,0.9996577483058918,0.9997952753763238
1,0.9989946453559372,0.9999999999913348,0.9999999999969036,0.9998250086279008,0.999625280931458
2,0.9977617190502958,0.9993815104798808,0.9981573272397698,0.9994185451489294,0.9996571305601776
3,0.9987365896243968,0.9999999999928056,0.999999999991876,0.99895269654333,0.999886288006686
4,0.999021872257498,0.9997885864609622,0.9994105019966596,0.9989171247556736,0.9998066893472972
5,0.9995261085834684,0.9999999999951388,0.9984148904333396,0.9996660475086512,0.9998428498243572
6,0.9994723883403452,0.9997941600400566,0.999370987461157,0.9989740295937224,0.9996805779412996
7,0.9979265079866896,0.9996776708914232,0.9986167847235604,0.9990060726400274,0.9992408264587844
8,0.9981702387803684,0.9994598607511559,0.99638519773236,0.9999999999957074,0.9995282149670368
9,0.99774086024098,0.9996578786950786,0.9996114725465274,0.9994064136733414,0.9992912158244636
10,0.9978697008889824,0.9999999999883228,0.9970766107528553,0.999410417414439,0.9995407380133088
11,0.9988576621984042,0.9997329381972728,0.999999999991961,0.9983660732566576,0.9998127741761444
12,0.9980381764249772,0.999999999989818,0.999448278620116,0.9995945396253002,0.999731119378332
13,0.9986924321420908,0.9999999999926388,0.9987626045245184,0.9997596996092462,0.999654900193121
14,0.9996136002195456,0.999709260488768,0.9986330496296943,0.9989380658177898,0.999583679271125
15,0.9992538405950608,0.9996127602705944,0.9967684367849432,0.9996945991129416,0.9999999999955944
16,0.9962022497455656,0.9991014123733614,0.9994450221074096,0.9997880976117784,0.9994467494052128
17,0.9994930253120476,0.9999999999954275,0.995983076166883,0.9997258025078424,0.9999999999837452
18,0.9988831472817028,0.9999999999950268,0.9969949733548812,0.9991111865367592,0.9996599784489556
19,0.9983373328923884,0.9995244229550856,0.9973033871497792,0.9993560335164752,0.9997847309396898
20,0.9988517514122722,0.999272674011739,0.9992342978217506,0.9992734932740568,0.9995773372546076
21,0.9991779897293446,0.9999999999951888,0.9994520439267318,0.999109789066929,0.9994833681611353
22,0.9990127494446344,0.9996236584258706,0.9993601742725192,0.9997027313591578,0.9994836109731154
23,0.9992223028443752,0.9997086212381512,0.9986868970461482,0.9997370853713614,0.9996808854043838
24,0.9998391963885452,0.9997153282016956,0.9999999999961178,0.9994362881067984,0.999343831343081
25,0.9989600860564688,0.9997132993179136,0.9977733279457596,0.9996855265206748,0.999820889437103
26,0.9976869195553044,0.999999999996368,0.9989067719270458,0.9992047465974808,0.999549391939838
27,0.9991069143039008,0.9995377900770634,0.9986507652576404,0.9994244768293676,0.9996943525100976
28,0.99903648072682,0.9995356266344736,0.997760074624414,0.9983736071843092,0.999406031692619
29,0.9989312220063292,0.9997506809322618,0.9991475894297046,0.999293421735355,0.9994856361606759
30,0.9984513310812784,0.9996642725589064,0.9987145985461788,0.9996667224715764,0.9996562051840708
31,0.9984956406709814,0.9999999999924444,0.999176673166427,0.9990639177333106,0.9999009584103236
32,0.9988448245244008,0.999665783319747,0.9972078636433224,0.9992318034812412,0.9998619369861134
33,0.9990862142433116,0.9999999999946828,0.9967478729409128,0.999086035506254,0.9995439379895186
34,0.9991765586657186,0.9997110373738248,0.998767061294787,0.9999999999925924,0.9995998420304952
35,0.99824179659219,0.9996045987075841,0.9993111746587338,0.9996988309027224,0.9997533763913184
36,0.9983920192464586,0.9999999999967186,0.9993352311397116,0.9987525805918204,0.9997532829503898
37,0.9978880443422024,0.9994046515432732,0.9978966388710004,0.9994869785567432,0.9996069934957764
38,0.9984586474502556,0.9997655892148102,0.9999999999952028,0.9992213125318832,0.9998450982235059
39,0.9986219823899992,0.9996746729423102,0.9986104255158532,0.9997379949696172,0.9997949193391948
40,0.9986460031089824,0.9995030563256404,0.9988365692090452,0.9984119960502206,0.9997135795097906
41,0.9993667442150588,0.9993966486525908,0.9959423077632762,0.9993290860033412,0.9996012946047788
42,0.9991134727339006,0.9999999999962068,0.9999999999955628,0.9992644832022184,0.9994767052339156
43,0.9982233887364012,0.9996657888313508,0.9987420786574112,0.9996899110364528,0.9995875079049384
44,0.9987636398459592,0.9999999999949316,0.9979714132522208,0.9986545433860436,0.9997263715466672
45,0.9989310178132146,0.9999999999857556,0.9989035703229576,0.999666920409246,0.9995558533082192
46,0.9994302522080248,0.9998011750316872,0.9986846123046844,0.9994001348802872,0.9997619351948556
47,0.998206353637375,0.9999999999939688,0.997640023869904,0.9993382929235992,0.999612666154826
48,0.9978447924670052,0.9994696525761301,0.9991170533572836,0.9994987266204292,0.9998640484360456
49,0.9993601492567916,0.9999999999961736,0.9980852916082638,0.9989200186367478,0.9997384139683936
50,0.998423216929604,0.9994785110796736,0.9987254818565888,0.9978227883422024,0.9992320961910116
51,0.9981803391066622,,0.9994573766005812,0.9989569599799452,0.9997187162987702
52,0.9976619472012984,0.999999999997488,0.9973948173815814,0.9999999999957726,0.999817164918502
53,0.998524509939509,0.9997207906985156,0.9958350084261404,0.9977190318054959,0.9996109655654372
54,0.9992604147439658,0.9999999999900204,0.999282171374442,0.999689199755618,0.9995264778230846
55,0.9990524373306692,0.9997301003519902,0.9993478904715202,0.9981041621625236,0.9995936303039562
56,0.9988284591543186,0.9995438869832748,0.9985686551447348,0.9999999999982476,0.9998180808009408
57,0.9993521963673324,0.9999999999949084,0.9999999999905028,0.9997034925227328,0.999668614341218
58,0.9984852001306564,0.9998752485229148,0.9979578713318392,0.999340983399148,0.9994854791577498
59,0.9988226359653412,0.9999999999949752,0.9999999999892156,0.9999999999921292,0.9999999999934978
60,0.998786928184053,0.999673310725834,0.9979981244365382,0.9990048884970156,0.9996342853927104
61,0.9970694942661784,0.9999999999941444,0.9999999999952736,0.9994003043296704,0.9996276441587121
62,0.9995977078146899,0.9996052663844794,0.9978278399486562,0.9993282225556674,0.999531053076802
63,0.998530177350642,0.9994996828309928,0.9971272403148786,0.9996218336954584,0.9993342677078318
64,0.9986274513814192,0.9999999999918548,0.9992881982724741,0.9999999999956559,0.9994296248605582
65,0.9977662310265988,,0.9979734096394148,1.0,
66,0.9997038807587759,0.9997560015486,0.9972635843547282,0.9997162551133004,0.999829064907914
67,0.9996071904650576,0.9996955240685468,0.9994245252883344,0.999720497695117,0.999651675213368
68,0.9991275885099968,0.9999999999884448,0.9970916502758442,0.9984367920889872,0.9998605310031616
69,0.9976896081294524,0.9995714254878872,0.9978229194990268,0.9997841911496002,0.9994781169829337
70,0.9989005189203558,0.999572650920638,0.9959777105253986,0.9994128143636668,0.9999999999904984
71,0.9984258302164548,0.9996937261781228,0.9977124401231532,0.9988174972738948,
72,0.9976865091218936,0.9999999999933784,0.9994927858449956,0.9994875338707564,0.9996692734386934
73,0.9982483894336076,0.9997962639858434,0.9993532305812154,0.99911906355951,0.999506254757231
74,0.9977671774371114,0.9997020749257765,0.998242214212427,0.9997040135401628,0.999582968383438
75,0.9982174130580468,0.9996583617126872,0.999999999998458,0.9996662221229504,0.9995281054914824
76,0.997512901264014,0.9993637350065818,0.9969506103932024,0.9994772668953228,0.9995197003768072
77,0.9989652583334159,0.9996937143169721,0.9987731883217512,0.997527897186696,0.9995790303833004
78,0.9988310587216463,0.9996006847407783,0.9992527157548332,0.999704445150962,0.9996662944136622
79,0.997741088291602,0.9996867919194159,0.9986648172075644,0.9997069475333272,0.9995821610752754
80,0.9989589709181814,0.9999999999903127,0.9986784601308704,0.9997093813360344,0.9998168248826612
81,0.999787277339086,0.9996683827951418,0.9988298717809868,0.9997622814786654,0.9998383940553459
82,0.998180891018838,0.999701435260175,0.998574035429104,0.9992812372489562,0.9993471177837716
83,0.9991632531778124,0.999999999993496,0.9993867937630952,0.99929889534992,0.9995227647066436
84,0.9992038192988044,0.9999999999944572,0.9993662532674276,0.9993717623762468,0.9995991449064466
85,0.9978942895950116,0.9999999999943636,0.9978995566634616,0.9999999999951888,0.9996070024127016
86,0.9979371027075336,0.9999999999900742,0.9977484772491976,0.9997114009060092,0.9998532113814612
87,0.9975943994308104,0.999654068716114,0.9999999999919656,0.9999999999934068,0.999257534778052
88,,0.9999999999931573,0.9979367689239936,0.9993456135714541,0.9996964092683498
89,0.9988097059629136,0.9997349906074936,0.9981118591372068,0.9990194414525904,0.9999999999932292
90,0.9999999999951288,0.9996762128084352,0.9999999999951228,0.9990286856298434,0.9996458202142486
91,0.9980521786434808,0.9996855447436888,0.9974118783610376,0.9993683026435136,0.9995099994008908
92,0.9988083006281044,0.9997282713709904,0.9999999999936876,0.999204971733996,0.9994018572612924
93,0.998194641806595,0.9993720210095464,0.9977969411624106,0.9991936852911694,0.9997113374761424
94,0.9995141265946436,0.9998025016487002,0.9999999999965886,0.9992424219453536,0.9995240395551388
95,0.9984345263764048,0.999999999991254,0.99999999999487,0.999310429366148,0.999728252357889
96,0.99840859072159,0.9996559564662832,0.9993786048780632,0.9984194279552222,0.9996352781966316
97,0.9993453779951068,0.9995291008242668,0.9950732973902204,0.9997371722565548,0.9996259610200866
98,0.997454500755158,0.999999999988218,0.9984741214463996,0.9996850012301648,0.9997491351646696
99,0.9982271822424219,0.99999999998678,0.9986220710776452,0.9985187049835592,0.9996811403849956
