Unnamed: 0,A_Thiazide_Diuretic,A_Beta_Blocker,A_ARB,A_CCB,A_ACE
0,0.9923139923016266,0.9900467877775476,0.9951981607236108,0.9943202727485448,0.9946958133071802
1,0.9942509486511036,0.9930738268373092,0.995181342975826,0.995220968017069,0.9964388809398568
2,0.9924326583008456,0.9893119383043406,0.9923326831586492,0.9969408796459106,0.9959785163387354
3,0.9922346735789536,0.9911387319305012,0.9967752049534504,0.9927434180986604,0.9956620183269804
4,0.9947305818583458,0.991995144490168,0.9937199392863034,0.9962381643604608,0.9967412623178932
5,0.9954713921716162,0.9898473131221668,0.9964416546483004,0.9961059189356792,0.9929312660726979
6,0.9932760371403798,0.9890748022012406,0.9955653152776746,0.9939670029830736,0.9944158907304904
7,0.9907434793667798,0.992856438509464,0.9901571139632068,0.9955713251121696,0.9948018354910588
8,0.9914696945227959,0.9905973533724264,0.9984277476207092,0.9947745449170232,0.9944322449806758
9,0.9933187844089484,0.9919025879020326,0.9964751971952308,0.9945108237575933,0.9956540292163188
10,0.9915274878853736,0.9920512421326434,0.9944858048567501,0.9938775599241932,0.9957767616299236
11,0.993312296351844,0.9936953581546816,0.9933298451529152,0.994749158296652,0.9938990972776336
12,0.9915200317034,0.9918980890382032,0.9969384022631532,0.9967018347439998,0.994226286768739
13,0.9962751668637002,0.9910566211000064,0.9963277160951556,0.9970260082147046,0.99599878734687
14,0.9919721071982792,0.9921611249335812,0.9943157626892156,0.995511298964332,0.9941367585415574
15,0.9936783755539422,0.9910353322167096,0.9950801133284513,0.9923570735233735,0.9940874901035808
16,0.9953315736974936,0.9920137381894076,0.9959737838975004,0.9947179067773614,0.9947696633797208
17,0.9935574396405452,0.991633286295303,0.9939842037715948,0.9976621981230172,0.9953303804082844
18,0.9960672074550332,0.9900711390138576,0.9965509402487014,0.9914223437237656,0.9948956042940922
19,0.9879209962705672,0.9909835990592236,0.9954478324990488,0.9963642122382256,
20,0.9927362289570586,0.9932795551874556,0.9949274786951252,0.997048263303043,0.9951968342388324
21,0.9964601205692479,0.9939225085833144,0.993932907686775,0.9965326220407752,0.9941194908906742
22,0.9952456914400648,0.9910692458772592,0.9940395079800762,0.9962570126659346,0.9951490985486864
23,0.9927866507949588,0.9932019614246844,0.9959859576687524,0.99544684528154,0.9961306428218054
24,0.9972389455064492,0.9932103154241076,0.996882189551384,0.997150828556836,0.9972439933107956
25,0.9937738827043244,0.9910354010745984,0.9959321012940778,0.9917143950626094,0.9950872270851601
26,0.9887799060678599,0.9901999470124474,0.994983386888712,0.9949497835314,0.9961755667726216
27,0.995433081527645,0.9916709447655712,0.9961732838482508,0.9940198365358024,0.9961642085285494
28,0.9896421465891596,0.9891185501033576,0.9933021879909752,0.9946995852157866,0.9973855203235392
29,0.9916091746235144,0.9929504495630054,0.9955887846446888,0.9940320804926818,0.9953886964150148
30,0.9929535936023358,0.9944941762855029,0.9952404145255788,0.9938249092434452,0.9954931971710156
31,0.9910685197616759,0.9921393977944576,0.9928925184334656,0.996112813072498,0.995021554928859
32,0.9911816698171196,0.9915389022160872,0.9967279187644124,0.9933548768482948,0.9957511580624088
33,0.9926000845449628,0.992053452827495,0.9957522361138996,0.9934495740058878,0.9956794105096279
34,0.989500545606582,0.9924589246592004,0.996482127677728,0.9952769629422512,0.996039200444923
35,0.9943555137793872,0.9915743288687924,0.9976342477806288,0.9946478109810324,0.99546730926125
36,0.9876162682159726,0.9894805862308708,0.9979860616461332,0.9976503699438504,0.9973972400483656
37,0.9886165156679988,0.9938335120125866,0.9961294789925929,0.9944911223475872,0.9964165523638194
38,0.9924717992721452,0.9891083519941364,0.994023920935412,0.9954883119982836,0.9951636548201144
39,0.9899030897925952,0.9892652754345944,0.9938661325904042,0.9947344246120496,0.9954565852808912
40,0.9925582904646082,0.9912711896108806,0.9948103715203834,0.9938187498912924,0.9961892425748698
41,0.9969387757222342,0.9898219685726908,0.9966200616528929,0.9899810285628948,0.9950911598903772
42,0.991001724187062,0.9908967339281496,0.9939717404044656,0.994189968162462,0.9958004617581314
43,0.994004175487368,0.9925839093544946,,0.9954830616731042,0.9961257290802942
44,0.9952414462348296,0.9925586629057321,0.994138569691615,0.9952827523191669,0.9960113827758692
45,0.9958642322013186,0.9941081773580758,0.9943979265202868,0.9968112194955788,0.9947945681901492
46,0.9951993042220344,0.9925937568719764,0.9960268908634266,0.994323484484609,0.9960371388231968
47,0.9913706460419256,0.9911536935936126,0.9977405889204728,0.9961151201833504,0.9967350077051982
48,0.99693362689427,0.995151247435,0.996584626780115,0.9953024910743712,0.9960815170227076
