Unnamed: 0,A_ACE,A_ARB,A_CCB,A_Beta_Blocker,A_Thiazide_Diuretic
0,0.9998831535949364,0.9997543498171416,0.9998512833596098,0.9991849656931192,0.9998143586238292
1,0.9995446932969716,0.9998430198793544,0.9997916702563956,0.9995737264837312,0.998487033092095
2,0.9993529548686668,0.9996386875708896,,0.9993593789565288,0.9992746431888822
3,0.9997775559450022,0.9997146160076942,0.9999058136616908,0.9997610836404556,0.9986110512868552
4,0.9994576910012376,0.9998617346590799,0.9991525590685082,0.9994523813676278,0.9991584267307496
5,0.9997790672029172,0.9997918309098114,0.9989369034734764,0.9997128776752624,0.9995716253117432
6,0.9992431516856152,0.9999999999972841,0.9999999999963174,0.999849607747732,0.9989948517202378
7,0.9995474194494444,0.9998207164592322,0.9984310054933332,0.9996542100825834,0.9994376880051042
8,0.9992501313310505,0.9998669942968008,0.999959232308598,0.9997782880496608,0.9996358825473886
9,0.9996587338150342,0.9996272426265882,0.999606200043924,0.9996017759571592,0.9984959955871836
10,0.9993945633798024,0.9999999999954448,0.9998143265259136,0.9995039311052658,0.9996164072070076
11,0.9994535628535406,0.99999999999661,0.9999999999963912,0.9993476664639872,0.9995635379291864
12,0.9995004109473132,0.9999999999953924,0.9998485460931712,0.9998316763119078,0.9994805361267984
13,0.9994321042882612,0.9999999999983794,0.9997470484634216,0.9994881508629716,0.998982596801646
14,0.9995599469166472,0.9998280630618852,0.9999999999964252,0.9997731575952528,0.9990409286643648
15,0.9998528938786304,0.9997268424444162,0.9991734449340434,0.9997999099432232,0.9995255264698912
16,0.99972955299373,0.9999999999954636,0.9976749361392876,0.9995637126832759,0.9997289403176676
17,0.999395685506662,0.999764291722298,0.9995726713665778,0.9996658954334656,0.9990869308036676
18,0.9993808850531216,0.9996371873145248,0.9990234483257334,0.9996794532088779,0.99939064464108
19,0.999129192600002,1.0,0.9999999999994136,0.9995411888527694,0.9997585737500646
20,0.9994578221396327,0.9999999999978691,0.9990721248502092,0.9992515468574128,0.9991559466443388
21,0.9996085991486444,0.9996789214243672,0.9995344173402062,0.9998956470398956,0.999313251825519
22,0.9996079108953824,0.999999999997776,0.9998483120759298,0.9994316548996008,0.99973949867237
23,0.9995861733625128,0.9998958983078208,0.9986049612884847,0.9992419828680564,0.9996686363225395
24,0.9992756751363312,0.9995726985975976,0.9995389586854688,0.9996011449666988,0.9997009600686966
25,0.9996158643188594,0.9997607539163381,0.9975807202436114,0.9993885534251848,0.9990282110255
26,0.9997659029132112,0.9998149429987622,0.9991257636105744,0.9996382649286764,0.9995543612333532
27,0.9998435974617204,0.9997316447138024,0.9992678305881884,0.9996754654427792,0.9988482950153508
28,0.9990654111256508,0.9997945807927366,0.9989728103676656,0.9992506262615816,0.9996341777462928
29,0.9994503113853721,0.9999999999922023,0.9995911604039128,0.9993171044146424,0.9987928846058745
30,0.9995903667303792,0.9998641353812188,0.9998397786342904,0.9997108927199574,0.9997202489561221
31,0.9995804265235648,0.9999999999972752,0.998648611629428,0.999877420425844,0.9988503222180756
32,0.9993127893456796,0.9999999999966518,0.9998904939927046,0.9992846994431078,0.9990857992049555
33,0.9998002741058862,0.9998971774483968,0.9997210408401432,0.9987317232455176,0.9986317574066108
34,0.999687763123552,0.9998384152138842,0.9998882526506108,0.999606569329456,0.9996409806540344
35,0.9995116846824486,0.9998827202200048,0.9979582568979124,0.9995033548990097,0.9989373641178088
36,0.9996283473093368,0.9997759665997769,0.9993621276734812,0.9997719905985326,0.9998138999484524
37,0.999278486748616,0.9999999999965636,0.9965815922281732,0.9993533452842795,0.999157510566112
38,0.9993164335124392,0.99992949408579,0.9981581395447758,0.9995814098418084,0.9996380646733316
