Unnamed: 0,A_ACE,A_ARB,A_CCB,A_Beta_Blocker,A_Thiazide_Diuretic
0,0.9962488962007342,0.998003354812459,0.9952784654817568,0.9988358074141273,0.9970989631493462
1,0.9965578981616474,0.9985109033740958,0.9969388927579156,0.9972998173746872,0.9965338463952662
2,0.9965917749571916,0.9974298267926176,0.9963393302914826,0.9965767376414976,0.9988880347441244
3,0.9961966429822636,0.9983611388615932,0.9947364989101364,0.99569586717431,0.9984241732222028
4,0.9960025992133804,0.9945237504100258,0.9985595648721196,0.9976591179482946,0.9985010675930892
5,0.9959540252487996,0.9980343538304444,0.9987855430225094,0.995652820963241,0.9989162469455078
6,0.9958151001216944,0.9962084090711596,0.99567463643831,0.9961348653200144,0.9965846146809488
7,0.9975032724474836,0.997988619621202,0.997688039747352,0.9979740761120638,0.9977556671938326
8,0.9968855411291042,0.9973418944125856,0.9979850112196532,0.996234518136536,0.9974023951797064
9,0.9978536059283244,0.9974668898769804,0.995377808745282,0.9988789102222744,0.9975241238988036
10,0.9968225342010659,0.9975383461316172,0.9973174828950132,0.9980092512387456,0.9985364137933398
11,0.9958272242008648,0.9950150930999184,0.9928460916345484,0.9979527672648064,0.9991263217236916
12,0.9969430717604256,0.9982951882751944,0.9954814414471088,0.9964316127912785,0.9976022479992476
13,0.9964598737418688,0.9983770543438965,0.9953799913842644,0.9964578937273773,0.9989209981792384
14,0.9974578269001484,0.9955407683754014,0.9957732311959632,0.9977893457185272,0.9953728426405248
15,0.9969034604645745,0.9994650646996701,0.9929126521329336,0.9959932838531652,0.9959526226552754
16,0.9958034187444796,0.9984174303929608,0.9974615539547008,0.9956947395883264,0.9963527770833084
17,0.9965133220383582,0.9973607730366848,0.9974557658035814,0.9957250296962701,0.9980008962719928
18,0.9949656618474059,0.9962424125900836,0.9973074581699998,0.9931161122225178,0.9975233498708158
19,0.9967551635008036,0.9973271639688841,0.9983070442681996,0.9958300092922732,0.9979564796977284
20,0.9963165569634294,0.9978768127653906,0.9954068042355884,0.997296923803356,0.9979651649238588
21,0.9963411110239414,0.9966360401076728,0.995642303182362,,0.9982054441166504
