Unnamed: 0,A_ARB,A_Thiazide_Diuretic,A_CCB,A_ACE,A_Beta_Blocker
0,0.9999999999970992,0.9998734076639082,0.9995956656419058,0.9995950816984804,0.9997665797481984
1,0.9999999999968824,1.0,0.9996980492695332,0.9996181169206622,0.9998516112907244
2,0.9999999999953768,0.9998939777583428,0.9999999999949938,0.9997673474189992,0.9997200779920464
3,0.9999999999953086,0.9999527155771202,0.999615824120254,0.9999212531499252,0.9998883087946576
4,0.9997705373304544,0.9997863419146652,0.9994828367026484,0.99974775728319,0.9997863701471408
5,0.9999999999965348,0.9999523370425072,0.999005480393887,0.9996791573595596,0.9998874835318708
6,0.9999204618552272,0.9999999999941808,0.9995711497987859,0.9998828702162578,0.9998219007736644
7,0.999999999993504,0.99999999999118,0.999053900854982,0.9999448092029688,0.9997594733777172
8,0.999999999998588,0.9999999999959552,1.0,1.0,0.9999999999968264
9,0.999672994864109,0.999999999996852,0.9989990115597835,0.9998219536020536,0.99977499451483
10,0.9999999999964624,0.9998327548471508,0.999333890842706,0.9994965469633634,0.9999167635575821
11,0.9999999999953024,0.9998288698527726,0.9994971839738421,0.9994503676297618,0.9998933327766168
12,0.9998332690811224,0.9999999999906458,0.9993639307961708,0.9999685691947304,0.9996029664926828
13,0.9999999999984392,0.9999469976988972,0.9994612197428324,0.9996811794719436,0.9998939489592444
14,0.9998863217306524,1.0,0.9987445298541916,0.9999748150163692,0.9997603395745628
15,0.9999999999969356,0.9999999999936552,0.9999999999966542,0.9997106882632858,0.9999112105557968
16,0.9998040404491844,0.9999999999864332,1.0,0.9999647115728479,0.9997375695851268
17,0.9998574291332448,0.9999154860884756,0.999454811210124,0.9999664042812342,0.9998616165946737
18,0.9998671880760056,1.0,0.9994822889047004,0.9999353258690666,0.9997809892911688
19,0.9998385353951034,0.9998984507638816,0.9999999999984256,0.9992432434974681,0.9998484918434752
20,0.9999999999905166,0.9998047040535352,0.9990422091931772,0.9995306000980548,0.9998415043706302
21,0.9998701870211228,0.9999267400207048,0.9999999999968416,0.9997947266273786,0.9999202408908026
22,0.9998811930056636,0.9999999999985488,0.999044085739472,0.9993022877298472,0.9999045019801956
23,0.9999999999953834,0.9997801846152864,0.9984522765532362,0.9999558467465136,0.9997930337556066
24,0.9999999999966828,0.9998925289842516,0.9999999999947348,0.9996786893701536,1.0
